pubkey,amount,locked_amount
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,248598,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,2246,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,30453,0
8VS5NYtGGTAk95nfJ8NP3DNu2Srj3gVgkAh3CqwESJVd,255245,0
8foMZ3b4our6WonK6FFWdhqoozwx5gRVztHHozrY3ipz,2032172,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,210311,0
BNwS7xrNMi2i8cmUZiMdvRss5hmpPcjdHYNVfQBQBENw,4318172,0
FvFjDU271T4qnqrKYchpaS7Hphtpzkii2Sbfq7tjJFT5,4312,0
HRp88fGahAsYVLYEJCJGeUZst1bWYxsTcJ7zV7tyr8VF,7270,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,103676,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,1516,0
