pubkey,amount,locked_amount
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,324586957,0
85Cf6TdRuHRMFmZQ4ZgDK76d63eHpRBrpAi4HznLLHBG,18577680,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,102056671,0
AhRYCtay7B4FDrEK5d8i1h5srfyX2BycPP5nSTMYBqNm,1050923851,0
CJc5khGJ4uZypLqgQPu742RKRRJPaaAxCQecVYiTEJrQ,1718123122,0
CmZpMHxTjZs2v17uhQ7umx6PnhzTsNK39A4YDkjy27QK,1001182363,0
CunAcyYPhxXoBkpjB6kx61Zo8NEVtNNqLmbspZ7ZMWbi,100092007,0
DaaYqvka7xYd58CKbvENYXrdXeRDd13KciRAVuoXoFEQ,205623532,0
Gxoy93jv4759k2mhMSQrTt8keL61bq2WZ1NugWNZZvFd,94264,0
HBSLfGJbU6aHfHyvgh2Laf3JdEsJYti7jApn3eaXhq2u,816108696,0
