pubkey,amount,locked_amount
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,9323404508,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,24408989956,0
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,18967821600,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,16535307557,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,22496973101,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,21248010663,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,18591802733,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,33531840013,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,17565693338,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,6195632354,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,21992375680,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,14317222052,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,15281485153,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,30698593252,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,24575372524,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,18369314128,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,26053510323,0
