pubkey,amount,locked_amount
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,2930389929,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,4297907400,0
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,20588238910,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,3531265750,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,14057131236,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,19492872503,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,24738854700,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,7740168087,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,1124655737,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,10193646193,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,20631296919,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,18009732926,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,22616240716,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,24933817943,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,20027653236,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,3308725433,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,23853595500,0
